Pk;Tm;Player
1;SAS;Victor Wembanyama
2;CHO;Brandon Miller
3;POR;Scoot Henderson
4;HOU;Amen Thompson
5;DET;Ausar Thompson
6;ORL;Anthony Black
7;IND;Bilal Coulibaly
8;WAS;Jarace Walker
9;UTA;Taylor Hendricks
10;DAL;Cason Wallace
11;ORL;Jett Howard
12;OKC;Dereck Lively II
13;TOR;Gradey Dick
14;NOP;Jordan Hawkins
15;ATL;Kobe Bufkin
16;UTA;Keyonte George
17;LAL;Jalen Hood-Schifino
18;MIA;Jaime Jaquez Jr.
19;GSW;Brandin Podziemski
20;HOU;Cam Whitmore
21;BRK;Noah Clowney
22;BRK;Dariq Whitehead
23;POR;Kris Murray
24;SAC;Olivier-Maxence Prosper
25;MEM;Marcus Sasser
26;IND;Ben Sheppard
27;CHO;Nick Smith Jr.
28;UTA;Brice Sensabaugh
29;IND;Julian Strawther
30;LAC;Kobe Brown
31;DET;James Nnaji
32;IND;Jalen Pickett
33;SAS;Leonard Miller
34;CHO;Colby Jones
35;BOS;Julian Phillips
36;ORL;Andre Jackson Jr.
37;OKC;Hunter Tyson
38;SAC;Jordan Walsh
39;CHO;Mouhamed Gueye
40;DEN;Maxwell Lewis
41;CHO;Amari Bailey
42;WAS;Tristan Vukcevic
43;POR;Rayan Rupert
44;SAS;Sidy Cissoko
45;MEM;GG Jackson II
46;ATL;Seth Lundy
47;LAL;Mojave King
48;LAC;Jordan Miller
49;CLE;Emoni Bates
50;OKC;Keyontae Johnson
51;BRK;Jalen Wilson
52;PHO;Toumani Camara
53;MIN;Jaylen Clark
54;SAC;Jalen Slawson
55;IND;Isaiah Wong
56;MEM;Tarik Biberovic
57;WAS;Trayce Jackson-Davis
58;MIL;Chris Livingston
