,Team,Selected via Draft,Acquired via Draft Rights Trade,Draft & Draft Rights Trade Combined,Acquired via Trade,Acquired via Waiver Claim,Acquired via Expansion,Acquired via Free Agency,Total Roster
0,Atlanta Hawks,4,3,7,6,0,0,2,15
1,Boston Celtics,6,0,6,4,0,0,5,15
2,Brooklyn Nets,2,1,3,8,0,0,4,15
3,Charlotte Hornets,5,3,8,3,0,0,4,15
4,Chicago Bulls,5,0,5,4,0,0,6,15
5,Cleveland Cavaliers,4,1,5,3,0,0,7,15
6,Dallas Mavericks,1,2,3,6,0,0,6,15
7,Denver Nuggets,6,1,7,4,0,0,4,15
8,Detroit Pistons,4,2,6,6,0,0,3,15
9,Golden State Warriors,8,1,9,2,0,0,4,15
10,Houston Rockets,5,3,8,2,0,0,5,15
11,Indiana Pacers,4,1,5,7,0,0,3,15
12,Los Angeles Clippers,1,2,3,7,0,0,5,15
13,Los Angeles Lakers,1,0,1,6,0,0,8,15
14,Memphis Grizzlies,2,8,10,2,0,0,3,15
15,Miami Heat,3,0,3,3,0,0,9,15
16,Milwaukee Bucks,2,0,2,4,0,0,9,15
17,Minnesota Timberwolves,3,3,6,4,0,0,5,15
18,New Orleans Pelicans,4,2,6,6,0,0,3,15
19,New York Knicks,3,3,6,3,0,0,6,15
20,Oklahoma City Thunder,5,3,8,2,0,0,5,15
21,Orlando Magic,7,0,7,4,0,0,4,15
22,Philadelphia Sixers,4,0,4,4,0,0,7,15
23,Phoenix Suns,2,0,2,7,0,0,6,15
24,Portland Trail Blazers,5,0,5,7,0,0,3,15
25,Sacramento Kings,3,0,3,5,0,0,7,15
26,San Antonio Spurs,6,0,6,4,0,0,5,15
27,Toronto Raptors,6,0,6,4,0,0,5,15
28,Utah Jazz,1,1,2,8,0,0,5,15
29,Washington Wizards,4,1,5,5,0,0,5,15
30,League Totals,116,41,157,140,0,0,153,450
