,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
,Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
0,1.0,J. Brown | A. Horford | M. Smart | J. Tatum | D. White,433:06,10.5,1.2,-4.7,0.039,6.0,8.0,0.078,0.076,2.1,1.7,0.036,-4.6,-8.8,-1.1,-8.8,-2.9,-6.6,7.6,0.7,1.7,-2.1,-0.5
1,2.0,J. Brown | A. Horford | M. Smart | J. Tatum | G. Williams,179:46,-1.1,-1.5,1.6,-0.026,5.0,10.1,0.041,0.001,-3.0,-1.9,-0.068,-2.8,-6.8,-4.8,-6.8,-3.7,-8.2,5.6,2.8,0.8,-1.6,0.4
2,3.0,J. Brown | A. Horford | J. Tatum | D. White | G. Williams,117:09,14.8,1.3,0.0,0.014,3.0,8.5,0.005,0.03,9.3,4.7,0.31,2.1,6.6,6.8,6.6,4.4,9.4,3.8,-2.1,3.0,2.1,-1.1
3,4.0,M. Brogdon | J. Brown | A. Horford | M. Smart | J. Tatum,110:11,-4.8,-4.8,-11.6,0.011,-2.3,-7.0,0.009,0.008,7.0,8.4,0.004,-0.2,1.4,2.4,1.4,1.3,3.4,-1.7,-1.9,5.1,6.0,-1.7
4,5.0,J. Brown | A. Horford | M. Smart | J. Tatum | R. Williams,80:39,-15.3,-2.8,-3.4,-0.014,-10.7,-16.4,-0.153,-0.073,1.1,3.4,-0.062,5.1,11.5,5.1,11.5,5.1,11.5,-6.2,-0.6,2.8,5.1,-0.8
5,6.0,J. Brown | A. Horford | M. Smart | D. White | G. Williams,70:57,18.3,8.2,-8.9,0.139,8.9,7.3,0.212,0.195,-7.1,-9.7,0.097,-7.9,-12.9,6.6,-12.9,-0.3,-0.8,5.2,-0.8,1.9,3.6,4.7
6,7.0,M. Brogdon | S. Hauser | L. Kornet | J. Tatum | G. Williams,69:28,5.1,-5.8,0.9,-0.069,9.4,15.9,0.116,-0.017,7.2,5.0,0.128,4.6,11.0,4.8,11.0,4.5,10.6,-3.3,-5.4,2.9,2.5,-2.8
7,8.0,J. Brown | A. Horford | J. Tatum | D. White | R. Williams,69:23,46.9,11.9,-13.6,0.193,9.4,0.6,0.203,0.257,13.7,15.9,0.007,0.8,7.9,19.2,7.9,10.3,19.7,8.1,-3.6,4.2,5.8,-4.6
8,9.0,J. Brown | B. Griffin | M. Smart | J. Tatum | D. White,67:59,28.6,7.5,7.5,0.046,11.3,21.4,0.087,0.104,2.3,-1.8,0.18,-2.7,-5.5,-1.9,-5.5,-2.1,-4.4,15.7,3.4,-2.8,-8.2,-0.7
9,10.0,M. Brogdon | A. Horford | M. Smart | J. Tatum | G. Williams,45:44,19.0,3.1,3.2,0.017,9.7,13.3,0.137,0.066,3.0,-1.3,0.189,-0.8,-0.5,2.8,-0.5,1.7,3.7,9.2,-0.1,-1.3,0.3,-1.7
10,11.0,S. Hauser | A. Horford | J. Tatum | D. White | R. Williams,44:37,29.3,7.0,0.2,0.076,7.7,10.5,0.109,0.118,7.6,6.4,0.114,6.5,18.3,16.8,18.3,11.4,22.7,6.3,-5.5,1.3,5.4,-6.3
11,12.0,J. Brown | B. Griffin | M. Smart | J. Tatum | G. Williams,43:04,13.9,5.6,4.6,0.042,1.9,-2.9,0.076,0.05,0.7,1.7,-0.039,0.9,2.6,3.0,2.6,1.6,3.3,-11.1,5.5,-5.3,-1.4,-2.7
12,13.0,A. Horford | M. Smart | J. Tatum | D. White | R. Williams,42:59,-3.2,-4.1,-3.6,-0.025,-0.9,9.8,-0.108,-0.026,5.9,4.8,0.131,4.8,10.0,3.1,10.0,4.0,9.3,-3.1,-2.4,5.7,2.4,-1.2
13,14.0,M. Brogdon | J. Brown | A. Horford | J. Tatum | D. White,42:38,-4.7,-3.7,-6.4,-0.006,2.5,5.8,0.009,0.014,0.2,1.0,-0.026,-4.2,-9.9,-3.5,-9.9,-4.5,-10.8,-1.9,1.2,6.1,-0.5,2.5
14,15.0,M. Brogdon | J. Brown | A. Horford | J. Tatum | G. Williams,41:08,52.1,6.8,-8.2,0.126,12.3,4.1,0.327,0.204,26.0,21.9,0.393,-5.5,-5.1,9.6,-5.1,2.1,4.8,1.4,11.0,0.0,-6.8,-3.4
15,16.0,M. Brogdon | J. Brown | D. White | G. Williams | R. Williams,38:56,18.0,14.6,2.5,0.145,6.5,3.0,0.157,0.179,-17.7,-13.8,-0.608,-2.4,-3.4,2.1,-3.4,0.0,0.0,4.1,-2.7,3.8,-1.1,5.1
16,17.0,M. Brogdon | J. Brown | A. Horford | M. Smart | G. Williams,37:10,-47.1,-15.4,-6.5,-0.133,-6.1,6.6,-0.23,-0.16,-10.2,-11.7,0.011,-3.1,-8.3,-6.7,-8.3,-5.4,-11.8,-9.2,-2.5,0.2,7.7,6.1
17,18.0,M. Brogdon | J. Brown | A. Horford | M. Smart | D. White,36:57,3.4,-4.7,0.4,-0.058,-0.3,7.9,-0.101,-0.061,13.1,10.5,0.138,-0.3,-2.8,-4.2,-2.8,-2.5,-5.9,4.5,2.8,0.1,-9.1,-3.8
18,19.0,J. Brown | M. Smart | J. Tatum | D. White | G. Williams,36:23,0.4,-10.0,-8.2,-0.071,-2.5,13.7,-0.267,-0.077,22.9,21.7,0.183,-5.1,-18.7,-13.6,-18.7,-9.3,-22.6,-7.6,6.6,3.9,-7.8,-6.6
19,20.0,M. Brogdon | J. Tatum | D. White | G. Williams | R. Williams,36:16,11.7,0.0,-7.8,0.038,2.6,14.3,-0.049,0.059,9.1,3.9,0.214,2.6,5.9,3.9,5.9,3.2,6.5,0.0,-3.9,6.5,6.5,-3.2
20,,Team Average,3999:00,6.6,0.4,-1.4,0.012,4.4,9.0,0.031,0.038,1.3,0.5,0.043,0.0,0.6,1.3,0.6,0.7,1.5,3.6,-0.3,1.4,0.6,-0.2
